batches_per_epoch,epoch,full_train_acc,full_train_loss,fwd_time_in_epoch,learning_rate,len_train_ds,len_val_ds,paramnorm_transformer.decoder.blocks.0.ffn.ffn.0.weight,paramnorm_transformer.decoder.blocks.0.ffn.ffn.2.weight,paramnorm_transformer.decoder.blocks.0.ffn_norm.bias,paramnorm_transformer.decoder.blocks.0.ffn_norm.weight,paramnorm_transformer.decoder.blocks.0.self_attn.Wo.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.0.Wk.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.0.Wq.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.0.Wv.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.1.Wk.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.1.Wq.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.1.Wv.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.2.Wk.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.2.Wq.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.2.Wv.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.3.Wk.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.3.Wq.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.3.Wv.weight,paramnorm_transformer.decoder.blocks.0.self_attn_norm.bias,paramnorm_transformer.decoder.blocks.0.self_attn_norm.weight,paramnorm_transformer.decoder.blocks.1.ffn.ffn.0.weight,paramnorm_transformer.decoder.blocks.1.ffn.ffn.2.weight,paramnorm_transformer.decoder.blocks.1.ffn_norm.bias,paramnorm_transformer.decoder.blocks.1.ffn_norm.weight,paramnorm_transformer.decoder.blocks.1.self_attn.Wo.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.0.Wk.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.0.Wq.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.0.Wv.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.1.Wk.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.1.Wq.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.1.Wv.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.2.Wk.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.2.Wq.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.2.Wv.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.3.Wk.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.3.Wq.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.3.Wv.weight,paramnorm_transformer.decoder.blocks.1.self_attn_norm.bias,paramnorm_transformer.decoder.blocks.1.self_attn_norm.weight,paramnorm_transformer.embedding.weight,paramnorm_transformer.linear.weight,step,time_per_epoch,train_accuracy,train_loss,train_perplexity,val_accuracy,val_loss,val_perplexity
2.0,0,,,0.00666499137878418,0.0,47.0,9362.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.07373452186584473,0.0,5.745815277099609,312.8786315917969,,,
,2,0.0,4.96207857131958,,,,,0.050984714180231094,0.025510475039482117,0.0005684010102413595,0.999361515045166,0.0509268194437027,0.050745777785778046,0.051276326179504395,0.050913866609334946,0.050789136439561844,0.050382018089294434,0.05095711350440979,0.05069045349955559,0.050245705991983414,0.050742682069540024,0.051033955067396164,0.051192425191402435,0.05114739015698433,0.0005633669788949192,0.9994013905525208,0.051002442836761475,0.025437157601118088,0.0005657343426719308,0.9992578625679016,0.05089147388935089,0.05088459327816963,0.05055828019976616,0.05134351924061775,0.05025899037718773,0.051351360976696014,0.05124761909246445,0.05080190673470497,0.051766686141490936,0.050940126180648804,0.050833120942115784,0.05073944851756096,0.05037702992558479,0.0005667627556249499,0.9993675351142883,0.9932147860527039,0.050971731543540955,3,,,,,0.32044434547424316,5.028946876525879,152.77203369140625
,4,0.0,4.00347900390625,,,,,0.05095630884170532,0.025515681132674217,0.0014032410690560937,0.9983999133110046,0.05089505761861801,0.05069763958454132,0.05123705416917801,0.05089820176362991,0.050762541592121124,0.05034508928656578,0.05091505125164986,0.05066980421543121,0.05023231729865074,0.05070364102721214,0.05098414793610573,0.051142871379852295,0.05113614350557327,0.0013864130014553666,0.998493492603302,0.05097632482647896,0.025444885715842247,0.0014060188550502062,0.9982881546020508,0.05086018890142441,0.05084662884473801,0.05052325502038002,0.051328301429748535,0.05022762343287468,0.051317375153303146,0.051209114491939545,0.050777729600667953,0.05171370506286621,0.050912193953990936,0.050813812762498856,0.05070958286523819,0.050347331911325455,0.0014018272049725056,0.9984001517295837,0.9923195242881775,0.05091207101941109,5,,,,,0.0,4.172341346740723,64.86714935302734
,6,0.0,3.2489309310913086,,,,,0.05093628168106079,0.025560157373547554,0.002515240805223584,0.9969812631607056,0.05086951702833176,0.050640832632780075,0.05119602754712105,0.050893452018499374,0.0507378913462162,0.05030963569879532,0.05087561160326004,0.05066521093249321,0.05023440718650818,0.05067715793848038,0.050931770354509354,0.051087573170661926,0.0511402003467083,0.002486032899469137,0.9971515536308289,0.05095295608043671,0.025491781532764435,0.0025957690086215734,0.9971282482147217,0.050836287438869476,0.050803057849407196,0.050474539399147034,0.05132625252008438,0.05019371211528778,0.051278430968523026,0.05117412656545639,0.05075153335928917,0.051650453358888626,0.0508897490799427,0.05079106241464615,0.05067804828286171,0.05032316595315933,0.002526954747736454,0.9969772696495056,0.9910233020782471,0.050856053829193115,7,,,,,0.0,3.4983208179473877,33.05989074707031
,8,0.0,2.944493293762207,,,,,0.05092822015285492,0.025655345991253853,0.0037081909831613302,0.9951281547546387,0.050854336470365524,0.05058553069829941,0.051161669194698334,0.05090310052037239,0.05071002244949341,0.05027805641293526,0.05084662511944771,0.05069234222173691,0.05026349052786827,0.050669390708208084,0.05088428780436516,0.05103413760662079,0.051159366965293884,0.0036815947387367487,0.9953957200050354,0.05093612149357796,0.025588899850845337,0.004019895102828741,0.9958736300468445,0.050821129232645035,0.05076061189174652,0.05042422562837601,0.05133627727627754,0.05015713721513748,0.05123823508620262,0.051139459013938904,0.05072689428925514,0.05158744379878044,0.05088050290942192,0.050779327750205994,0.05066017061471939,0.050304073840379715,0.0037353206425905228,0.9951120615005493,0.989328145980835,0.050821978598833084,9,,,,,0.0,3.2737090587615967,26.40911102294922
,10,0.0,2.7363405227661133,,,,,0.050924524664878845,0.025788087397813797,0.004786327015608549,0.9929671287536621,0.050839487463235855,0.0505465492606163,0.05115056410431862,0.05091177672147751,0.05068717151880264,0.050261322408914566,0.05082268640398979,0.050744201987981796,0.05031644180417061,0.050669994205236435,0.05084600672125816,0.05098448321223259,0.05117547884583473,0.004753287881612778,0.9933599829673767,0.05092111974954605,0.025722796097397804,0.005420912988483906,0.9944904446601868,0.050804026424884796,0.05072224885225296,0.050381261855363846,0.05133754760026932,0.05011586472392082,0.05119528993964195,0.05109546333551407,0.05070682615041733,0.05153156816959381,0.050879448652267456,0.050783298909664154,0.05066365376114845,0.050278522074222565,0.0048307147808372974,0.9929407238960266,0.9873409271240234,0.050823844969272614,11,,,,,0.0,3.1798653602600098,24.043516159057617
,12,0.0,2.503885269165039,,,,,0.05092218890786171,0.02592484839260578,0.005589993670582771,0.9908444285392761,0.05082133039832115,0.0505317784845829,0.051167283207178116,0.050914522260427475,0.05068492144346237,0.05027195066213608,0.050801437348127365,0.05080939829349518,0.050383396446704865,0.050668831914663315,0.050817374140024185,0.05094017833471298,0.05117956921458244,0.005552404094487429,0.9913578629493713,0.050905827432870865,0.02585831843316555,0.006566711235791445,0.9931619167327881,0.05078110843896866,0.050695713609457016,0.05035176873207092,0.051326628774404526,0.05007573217153549,0.05115629732608795,0.051046233624219894,0.05068854242563248,0.05148536339402199,0.05087349936366081,0.050809215754270554,0.05069177225232124,0.05024897679686546,0.005655115470290184,0.9908093810081482,0.9853620529174805,0.05086242035031319,13,,,,,0.0,3.0736207962036133,21.62004280090332
,14,0.0,2.338916301727295,,,,,0.050920117646455765,0.026056846603751183,0.006205721292644739,0.9887610077857971,0.0507998913526535,0.0505349338054657,0.05120420083403587,0.05091429129242897,0.050707992166280746,0.0503070168197155,0.05078103393316269,0.05088155344128609,0.05045723542571068,0.05066460371017456,0.050794921815395355,0.05089844390749931,0.05117371305823326,0.0061717526987195015,0.9893826842308044,0.050890322774648666,0.025986673310399055,0.007594101596623659,0.9919688105583191,0.05075051635503769,0.050683461129665375,0.050336804240942,0.0513041727244854,0.05003860965371132,0.051120392978191376,0.05099499598145485,0.050664838403463364,0.05144171789288521,0.05085629224777222,0.050852011889219284,0.05073811858892441,0.05021696910262108,0.006279028952121735,0.9887208938598633,0.9833910465240479,0.05093207582831383,15,,,,,0.0,3.0163729190826416,20.417104721069336
,16,8.510638236999512,2.218787431716919,,,,,0.05091577395796776,0.02617895044386387,0.006681295111775398,0.9867053627967834,0.05077211931347847,0.05053970217704773,0.05123981833457947,0.05090923607349396,0.0507449209690094,0.0503503642976284,0.05076127126812935,0.05094780772924423,0.0505221001803875,0.050653327256441116,0.05077024921774864,0.05085298791527748,0.05115567892789841,0.0066714477725327015,0.9874194264411926,0.05087214335799217,0.026102926582098007,0.008622948080301285,0.9909486770629883,0.05070722475647926,0.050681259483098984,0.050333887338638306,0.051263585686683655,0.0500020906329155,0.05108395963907242,0.05094083026051521,0.05063020437955856,0.05139339715242386,0.05081963911652565,0.05088862031698227,0.05077569559216499,0.050180017948150635,0.006750879809260368,0.9866657257080078,0.9814265370368958,0.051028668880462646,17,,,,,0.9292886257171631,2.9780948162078857,19.65034294128418
,18,8.510638236999512,2.1069562435150146,,,,,0.050906311720609665,0.026288479566574097,0.007058483082801104,0.9846678972244263,0.05073610693216324,0.050540268421173096,0.05126569792628288,0.05089651793241501,0.05078179016709328,0.05038538575172424,0.050737280398607254,0.05100736767053604,0.05057162418961525,0.05063488706946373,0.05074336752295494,0.05080636963248253,0.05112755298614502,0.007081476040184498,0.9854576587677002,0.05085141584277153,0.02620610035955906,0.009672668762505054,0.9900534749031067,0.050651103258132935,0.050684019923210144,0.050336942076683044,0.051207080483436584,0.04996128007769585,0.051040422171354294,0.050877977162599564,0.050588954240083694,0.05134577676653862,0.05076790973544121,0.050906263291835785,0.05079498887062073,0.05013188719749451,0.007118981331586838,0.9846328496932983,0.979468047618866,0.05114796385169029,19,,,,,0.9933775067329407,2.9313066005706787,18.752117156982422
